,Unnamed: 0.1,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
5,5,5,6,NO APPEND,bear about the mockery of woe.,Henry Tilney,Catherine Morland,NO MONOLOGUE,0,1,Anaphoric,he continued
9,9,9,10,NO APPEND,It is a delightful task To teach the young idea how to shoot.,General Tilney,Catherine Morland,NO MONOLOGUE,0,1,Implicit,
11,11,11,12,NO APPEND,"Trifles light as air, Are, to the jealous, confirmation strong, As proofs of Holy Writ.",General Tilney,Catherine Morland,NO MONOLOGUE,0,1,Implicit,
15,15,15,16,NO APPEND,like Patience on a monument Smiling at Grief.,General Tilney,Catherine Morland,NO MONOLOGUE,0,1,Implicit,
20,20,20,21,"When the hour of departure drew near, the maternal anxiety of Mrs. Morland will be naturally supposed to be most severe. A thousand alarming presentiments of evil to her beloved Catherine from this terrific separation must oppress her heart with sadness, and drown her in tears for the last day or two of their being together; and advice of the most important and applicable nature must of course flow from her wise lips in their parting conference in her closet. Cautions against the violence of such noblemen and baronets as delight in forcing young ladies away to some remote farm-house, must, at such a moment, relieve the fulness of her heart. Who would not think so? But Mrs. Morland knew so little of lords and baronets, that she entertained no notion of their general mischievousness, and was wholly unsuspicious of danger to her daughter from their machinations. Her cautions were confined to the following points. ","I beg, Catherine, you will always wrap yourself up very warm about the throat, when you come from the rooms at night; and I wish you would try to keep some account of the money you spend; I will give you this little book on purpose.",,Catherine Morland,NO MONOLOGUE,0,2,Anaphoric,Her cautions were
27,27,27,28,"Mrs. Allen was so long in dressing that they did not enter the ballroom till late. The season was full, the room crowded, and the two ladies squeezed in as well as they could. As for Mr. Allen, he repaired directly to the card-room, and left them to enjoy a mob by themselves. With more care for the safety of her new gown than for the comfort of her protegee, Mrs. Allen made her way through the throng of men by the door, as swiftly as the necessary caution would allow; Catherine, however, kept close at her side, and linked her arm too firmly within her friend s to be torn asunder by any common effort of a struggling assembly. But to her utter amazement she found that to proceed along the room was by no means the way to disengage themselves from the crowd; it seemed rather to increase as they went on, whereas she had imagined that when once fairly within the door, they should easily find seats and be able to watch the dances with perfect convenience. But this was far from being the case, and though by unwearied diligence they gained even the top of the room, their situation was just the same; they saw nothing of the dancers but the high feathers of some of the ladies. Still they moved on something better was yet in view; and by a continued exertion of strength and ingenuity they found themselves at last in the passage behind the highest bench. Here there was something less of crowd than below; and hence Miss Morland had a comprehensive view of all the company beneath her, and of all the dangers of her late passage through them. It was a splendid sight, and she began, for the first time that evening, to feel herself at a ball: she longed to dance, but she had not an acquaintance in the room. Mrs. Allen did all that she could do in such a case by saying very placidly, every now and then,  /newquote  For some time her young friend felt obliged to her for these wishes; but they were repeated so often, and proved so totally ineffectual, that Catherine grew tired at last, and would thank her no more.","I wish you could dance, my dear I wish you could get a partner.",Mrs. Allen,Catherine Morland,NO MONOLOGUE,0,2,Explicit,Mrs Allen did all that she could do in such a case by saying
29,29,29,30,"Mrs. Allen congratulated herself, as soon as they were seated, on having preserved her gown from injury.  /newquote  said she, ","It would have been very shocking to have it torn, /newquote would not it? It is such a delicate muslin. For my part I have not seen anything I like so well in the whole room, I assure you.",Mrs. Allen,Catherine Morland,NO MONOLOGUE,0,2,Anaphoric,said she
30,30,30,31," whispered Catherine, ","How uncomfortable it is, /newquote not to have a single acquaintance here!",Catherine Morland,Mrs. Allen,NO MONOLOGUE,0,2,Explicit,whispered Catherine
31,31,31,32," replied Mrs. Allen, with perfect serenity, ","Yes, my dear, /newquote it is very uncomfortable indeed.",Mrs. Allen,Catherine Morland,NO MONOLOGUE,0,2,Explicit,replied Mrs Allen
32,32,32,33,NO APPEND,What shall we do? The gentlemen and ladies at this table look as if they wondered why we came here we seem forcing ourselves into their party.,Catherine Morland,Mrs. Allen,NO MONOLOGUE,0,2,Implicit,
