,Unnamed: 0.1,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
5,5,5,6,           ,ELLIOT OF KELLYNCH HALL.,Sir Walter Elliot,"['Charles Musgrove', 'Lady Russell', 'Admiral Croft']",NO MONOLOGUE,0,1,Anaphoric,he observed
6,6,6,7,NO APPEND,"Walter Elliot, born March 1, 1760, married, July 15, 1784, Elizabeth, daughter of James Stevenson, Esq. of South Park, in the county of Gloucester, by which lady (who died 1800) he has issue Elizabeth, born June 1, 1785; Anne, born August 9, 1787; a still-born son, November 5, 1789; Mary, born November 20, 1791.",Lady Russell,"['Sir Walter Elliot', 'Charles Musgrove', 'Admiral Croft']",NO MONOLOGUE,0,1,Explicit,said Lady Russell
7,7,7,8,"Precisely such had the paragraph originally stood from the printer's hands; but Sir Walter had improved it by adding, for the information of himself and his family, these words, after the date of Mary's birth--  /newquote  and by inserting most accurately the day of the month on which he had lost his wife.","Married, December 16, 1810, Charles, son and heir of Charles Musgrove, Esq. of Uppercross, in the county of Somerset,",Charles Musgrove,"['Sir Walter Elliot', 'Lady Russell', 'Admiral Croft']",NO MONOLOGUE,0,1,Explicit,Charles added
21,21,21,22,"Sir Walter had resented it.  As the head of the house, he felt that he ought to have been consulted, especially after taking the young man so publicly by the hand;  /newquote  he observed,  /newquote   His disapprobation was expressed, but apparently very little regarded.  Mr Elliot had attempted no apology, and shewn himself as unsolicitous of being longer noticed by the family, as Sir Walter considered him unworthy of it:  all acquaintance between them had ceased.","For they must have been seen together, /newquote once at Tattersall's, and twice in the lobby of the House of Commons.",Sir Walter Elliot,_unknowable,NO MONOLOGUE,0,1,Anaphoric,he observed
24,24,24,25,"But now, another occupation and solicitude of mind was beginning to be added to these.  Her father was growing distressed for money.  She knew, that when he now took up the Baronetage, it was to drive the heavy bills of his tradespeople, and the unwelcome hints of Mr Shepherd, his agent, from his thoughts.  The Kellynch property was good, but not equal to Sir Walter's apprehension of the state required in its possessor.  While Lady Elliot lived, there had been method, moderation, and economy, which had just kept him within his income; but with her had died all such right-mindedness, and from that period he had been constantly exceeding it.  It had not been possible for him to spend less; he had done nothing but what Sir Walter Elliot was imperiously called on to do; but blameless as he was, he was not only growing dreadfully in debt, but was hearing of it so often, that it became vain to attempt concealing it longer, even partially, from his daughter.  He had given her some hints of it the last spring in town; he had gone so far even as to say,  /newquote  and Elizabeth, to do her justice, had, in the first ardour of female alarm, set seriously to think what could be done, and had finally proposed these two branches of economy, to cut off some unnecessary charities, and to refrain from new furnishing the drawing-room; to which expedients she afterwards added the happy thought of their taking no present down to Anne, as had been the usual yearly custom.  But these measures, however good in themselves, were insufficient for the real extent of the evil, the whole of which Sir Walter found himself obliged to confess to her soon afterwards.  Elizabeth had nothing to propose of deeper efficacy.  She felt herself ill-used and unfortunate, as did her father; and they were neither of them able to devise any means of lessening their expenses without compromising their dignity, or relinquishing their comforts in a way not to be borne.",Can we retrench?  Does it occur to you that there is any one article in which we can retrench?,Sir Walter Elliot,Elizabeth,NO MONOLOGUE,0,1,Anaphoric,he had gone so far even as to say
31,31,31,32," said Lady Russell, looking over her paper, ","If we can persuade your father to all this, /newquote much may be done.  If he will adopt these regulations, in seven years he will be clear; and I hope we may be able to convince him and Elizabeth, that Kellynch Hall has a respectability in itself which cannot be affected by these reductions; and that the true dignity of Sir Walter Elliot will be very far from lessened in the eyes of sensible people, by acting like a man of principle.  What will he be doing, in fact, but what very many of our first families have done, or ought to do?  There will be nothing singular in his case; and it is singularity which often makes the worst part of our suffering, as it always does of our conduct.  I have great hope of prevailing.  We must be serious and decided; for after all, the person who has contracted debts must pay them; and though a great deal is due to the feelings of the gentleman, and the head of a house, like your father, there is still more due to the character of an honest man.",Lady Russell,Anne Elliot,NO MONOLOGUE,0,2,Explicit,said Lady Russell
34,34,34,35,"  The hint was immediately taken up by Mr Shepherd, whose interest was involved in the reality of Sir Walter's retrenching, and who was perfectly persuaded that nothing would be done without a change of abode.   /newquote  he said, ","Quit Kellynch Hall. /newquote Since the idea had been started in the very quarter which ought to dictate, he had no scruple, /newquote in confessing his judgement to be entirely on that side.  It did not appear to him that Sir Walter could materially alter his style of living in a house which had such a character of hospitality and ancient dignity to support.  In any other place Sir Walter might judge for himself; and would be looked up to, as regulating the modes of life in whatever way he might choose to model his household.",Mrs Smith,Elizabeth,NO MONOLOGUE,0,2,Anaphoric,she continued
41,41,41,42,"Sir Walter could not have borne the degradation of being known to design letting his house.  Mr Shepherd had once mentioned the word  /newquote  but never dared approach it again.  Sir Walter spurned the idea of its being offered in any manner; forbad the slightest hint being dropped of his having such an intention; and it was only on the supposition of his being spontaneously solicited by some most unexceptionable applicant, on his own terms, and as a great favour, that he would let it at all.","advertise,",,Sir Walter Elliot,NO MONOLOGUE,0,2,,Mr Shepherd had once mentioned
101,101,101,102,"Sir Walter, without hesitation, declared the Admiral to be the best-looking sailor he had ever met with, and went so far as to say, that if his own man might have had the arranging of his hair, he should not be ashamed of being seen with him any where; and the Admiral, with sympathetic cordiality, observed to his wife as they drove back through the park,  /newquote --reciprocal compliments, which would have been esteemed about equal.","I thought we should soon come to a deal, my dear, in spite of what they told us at Taunton.  The Baronet will never set the Thames on fire, but there seems to be no harm in him.",Admiral Croft,Mr Shepherd,NO MONOLOGUE,0,5,Explicit,the Admiral with sympathetic cordiality observed to his wife
105,105,105,106," was Mary's reasoning; and Elizabeth's reply was, ","I cannot possibly do without Anne, /newquote Then I am sure Anne had better stay, for nobody will want her in Bath.",Elizabeth,Mary,NO MONOLOGUE,0,5,Explicit,Elizabeths reply was
