,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
1,1,2,"There are plenty of people in Avonlea and out of it, who can attend closely to their neighbor's business by dint of neglecting their own; but Mrs. Rachel Lynde was one of those capable creatures who can manage their own concerns and those of other folks into the bargain. She was a notable housewife; her work was always done and well done; she  /newquote  the Sewing Circle, helped run the Sunday-school, and was the strongest prop of the Church Aid Society and Foreign Missions Auxiliary. Yet with all this Mrs. Rachel found abundant time to sit for hours at her kitchen window, knitting  /newquote  quilts--she had knitted sixteen of them, as Avonlea housekeepers were wont to tell in awed voices--and keeping a sharp eye on the main road that crossed the hollow and wound up the steep red hill beyond. Since Avonlea occupied a little triangular peninsula jutting out into the Gulf of St. Lawrence with water on two sides of it, anybody who went out of it or into it had to pass over that hill road and so run the unseen gauntlet of Mrs. Rachel's all-seeing eye.",ran /newquote cotton warp,Anne Shirley,Diana Barry,NO MONOLOGUE,0,1,Explicit,said Anne
2,2,3,"She was sitting there one afternoon in early June. The sun was coming in at the window warm and bright; the orchard on the slope below the house was in a bridal flush of pinky-white bloom, hummed over by a myriad of bees. Thomas Lynde--a meek little man whom Avonlea people called  /newquote --was sowing his late turnip seed on the hill field beyond the barn; and Matthew Cuthbert ought to have been sowing his on the big red brook field away over by Green Gables. Mrs. Rachel knew that he ought because she had heard him tell Peter Morrison the evening before in William J. Blair's store over at Carmody that he meant to sow his turnip seed the next afternoon. Peter had asked him, of course, for Matthew Cuthbert had never been known to volunteer information about anything in his whole life.",Rachel Lynde's husband,Anne Shirley,Marilla Cuthbert,NO MONOLOGUE,0,1,Implicit,
11,11,12, Marilla said briskly. ,"Good evening, Rachel, /newquote This is a real fine evening, isn't it? Won't you sit down? How are all your folks?",Marilla Cuthbert,Rachel Lynde,NO MONOLOGUE,0,1,Explicit,Marilla said
14,14,15, said Mrs. Rachel. ,"We're all pretty well, /newquote I was kind of afraid _you_ weren't, though, when I saw Matthew starting off today. I thought maybe he was going to the doctor's.",Rachel Lynde,Marilla Cuthbert,NO MONOLOGUE,0,1,Explicit,said Mrs Rachel
16,16,17, she said. ,"Oh, no, I'm quite well although I had a bad headache yesterday, /newquote Matthew went to Bright River. We're getting a little boy from an orphan asylum in Nova Scotia and he's coming on the train tonight.",Marilla Cuthbert,Rachel Lynde,NO MONOLOGUE,0,1,Anaphoric,she said
18,18,19, she demanded when voice returned to her.,"Are you in earnest, Marilla?",Rachel Lynde,Marilla Cuthbert,NO MONOLOGUE,0,1,Anaphoric,she demanded
19,19,20," said Marilla, as if getting boys from orphan asylums in Nova Scotia were part of the usual spring work on any well-regulated Avonlea farm instead of being an unheard of innovation.","Yes, of course,",Marilla Cuthbert,Rachel Lynde,NO MONOLOGUE,0,1,Explicit,said Marilla
21,21,22, she demanded disapprovingly.,What on earth put such a notion into your head?,Rachel Lynde,Marilla Cuthbert,NO MONOLOGUE,0,1,Anaphoric,she demanded
25,25,26,NO APPEND,"Well, Marilla, I'll just tell you plain that I think you're doing a mighty foolish thing--a risky thing, that's what. You don't know what you're getting. You're bringing a strange child into your house and home and you don't know a single thing about him nor what his disposition is like nor what sort of parents he had nor how he's likely to turn out. Why, it was only last week I read in the paper how a man and his wife up west of the Island took a boy out of an orphan asylum and he set fire to the house at night--set it _on purpose_, Marilla--and nearly burnt them to a crisp in their beds. And I know another case where an adopted boy used to suck the eggs--they couldn't break him of it. If you had asked my advice in the matter--which you didn't do, Marilla--I'd have said for mercy's sake not to think of such a thing, that's what.",Rachel Lynde,Marilla Cuthbert,NO MONOLOGUE,0,1,Anaphoric,she proceeded to speak
27,27,28,NO APPEND,"I don't deny there's something in what you say, Rachel. I've had some qualms myself. But Matthew was terrible set on it. I could see that, so I gave in. It's so seldom Matthew sets his mind on anything that when he does I always feel it's my duty to give in. And as for the risk, there's risks in pretty near everything a body does in this world. There's risks in people's having children of their own if it comes to that--they don't always turn out well. And then Nova Scotia is right close to the Island. It isn't as if we were getting him from England or the States. He can't be much different from ourselves.",Marilla Cuthbert,Rachel Lynde,NO MONOLOGUE,0,1,Implicit,
28,28,29, said Mrs. Rachel in a tone that plainly indicated her painful doubts. ,"Well, I hope it will turn out all right, /newquote Only don't say I didn't warn you if he burns Green Gables down or puts strychnine in the well--I heard of a case over in New Brunswick where an orphan asylum child did that and the whole family died in fearful agonies. Only, it was a girl in that instance.",Rachel Lynde,Marilla Cuthbert,NO MONOLOGUE,0,1,Explicit,said Mrs Rachel
29,29,30," said Marilla, as if poisoning wells were a purely feminine accomplishment and not to be dreaded in the case of a boy. ","Well, we're not getting a girl, /newquote I'd never dream of taking a girl to bring up. I wonder at Mrs. Alexander Spencer for doing it. But there, _she_ wouldn't shrink from adopting a whole orphan asylum if she took it into her head.",Marilla Cuthbert,Rachel Lynde,NO MONOLOGUE,0,1,Explicit,said Marilla
34,34,35,     ,The little birds sang as if it were      The one day of summer in all the year.,Anne Shirley,Marilla Cuthbert,NO MONOLOGUE,0,2,Implicit,
39,39,40, answered that brisk official. ,"The five-thirty train has been in and gone half an hour ago, /newquote But there was a passenger dropped off for you--a little girl. She's sitting out there on the shingles. I asked her to go into the ladies' waiting room, but she informed me gravely that she preferred to stay outside. ?There was more scope for imagination,' she said. She's a case, I should say.",The Station-Master,Matthew Cuthbert,NO MONOLOGUE,0,2,Anaphoric,answered that brisk official
