,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
2,2,2," said his lady to him one day, ","My dear Mr. Bennet, /newquote have you heard that Netherfield Park is let at last?",Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Anaphoric,said his lady to him
4,4,4, returned she; ,"But it is, /newquote for Mrs. Long has just been here, and she told me all about it.",Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Anaphoric,returned she
6,6,6, cried his wife impatiently.,Do not you want to know who has taken it?,Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Anaphoric,cried his wife
7,7,7,NO APPEND,"_You_ want to tell me, and I have no objection to hearing it.",Mr. Bennet,Mrs. Bennet,NO MONOLOGUE,0,1,Implicit,
9,9,9,NO APPEND,"Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.",Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Implicit,
10,10,10,NO APPEND,What is his name?,Mr. Bennet,Mrs. Bennet,NO MONOLOGUE,0,1,Implicit,
11,11,11,NO APPEND,Bingley.,Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Implicit,
12,12,12,NO APPEND,Is he married or single?,Mr. Bennet,Mrs. Bennet,NO MONOLOGUE,0,1,Implicit,
13,13,13,NO APPEND,"Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!",Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Implicit,
14,14,14,NO APPEND,How so? how can it affect them?,Mr. Bennet,Mrs. Bennet,NO MONOLOGUE,0,1,Implicit,
15,15,15," replied his wife, ","My dear Mr. Bennet, /newquote how can you be so tiresome! You must know that I am thinking of his marrying one of them.",Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Anaphoric,replied his wife
16,16,16,NO APPEND,Is that his design in settling here?,Mr. Bennet,Mrs. Bennet,NO MONOLOGUE,0,1,Implicit,
17,17,17,NO APPEND,"Design! nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.",Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Implicit,
18,18,18,NO APPEND,"I see no occasion for that. You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.",Mr. Bennet,Mrs. Bennet,NO MONOLOGUE,0,1,Implicit,
19,19,19,NO APPEND,"My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now. When a woman has five grown up daughters, she ought to give over thinking of her own beauty.",Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Implicit,
20,20,20,NO APPEND,"In such cases, a woman has not often much beauty to think of.",Mr. Bennet,Mrs. Bennet,NO MONOLOGUE,0,1,Implicit,
21,21,21,NO APPEND,"But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.",Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Implicit,
22,22,22,NO APPEND,"It is more than I engage for, I assure you.",Mr. Bennet,Mrs. Bennet,NO MONOLOGUE,0,1,Implicit,
23,23,23,NO APPEND,"But consider your daughters. Only think what an establishment it would be for one of them. Sir William and Lady Lucas are determined to go, merely on that account, for in general you know they visit no new comers. Indeed you must go, for it will be impossible for _us_ to visit him, if you do not.",Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Implicit,
24,24,24,NO APPEND,You are over scrupulous surely. I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls; though I must throw in a good word for my little Lizzy.,Mr. Bennet,Mrs. Bennet,NO MONOLOGUE,0,1,Implicit,
25,25,25,NO APPEND,"I desire you will do no such thing. Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good humoured as Lydia. But you are always giving _her_ the preference.",Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Implicit,
26,26,26, replied he; ,"They have none of them much to recommend them, /newquote they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.",Mr. Bennet,Mrs. Bennet,NO MONOLOGUE,0,1,Anaphoric,replied he
27,27,27,NO APPEND,"Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion on my poor nerves.",Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Implicit,
28,28,28,NO APPEND,"You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these twenty years at least.",Mr. Bennet,Mrs. Bennet,NO MONOLOGUE,0,1,Implicit,
29,29,29,NO APPEND,Ah! you do not know what I suffer.,Mrs. Bennet,Mr. Bennet,NO MONOLOGUE,0,1,Implicit,
