,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
9,9,10,"When he gave his promise to his father, he meditated within himself to increase the fortunes of his sisters by the present of a thousand pounds a-piece. He then really thought himself equal to it. The prospect of four thousand a-year, in addition to his present income, besides the remaining half of his own mother s fortune, warmed his heart, and made him feel capable of generosity.  /newquote  He thought of it all day long, and for many days successively, and he did not repent.","Yes, he would give them three thousand pounds: it would be liberal and handsome! It would be enough to make them completely easy. Three thousand pounds! he could spare so considerable a sum with little inconvenience.",Anne Steele,Elinor,NO MONOLOGUE,0,1,Implicit,
19,19,20," replied her husband, ","It was my father s last request to me, /newquote that I should assist his widow and daughters.",John Dashwood,Fanny,NO MONOLOGUE,0,2,Anaphoric,replied her husband
20,20,21,NO APPEND,"He did not know what he was talking of, I dare say; ten to one but he was light-headed at the time. Had he been in his right senses, he could not have thought of such a thing as begging you to give away half your fortune from your own child.",Fanny,John Dashwood,NO MONOLOGUE,0,2,Implicit,
21,21,22,NO APPEND,"He did not stipulate for any particular sum, my dear Fanny; he only requested me, in general terms, to assist them, and make their situation more comfortable than it was in his power to do. Perhaps it would have been as well if he had left it wholly to myself. He could hardly suppose I should neglect them. But as he required the promise, I could not do less than give it; at least I thought so at the time. The promise, therefore, was given, and must be performed. Something must be done for them whenever they leave Norland and settle in a new home.",John Dashwood,Fanny,NO MONOLOGUE,0,2,Implicit,
22,22,23," she added, ","Well, then, _let_ something be done for them; but _that_ something need not be three thousand pounds. Consider, /newquote that when the money is once parted with, it never can return. Your sisters will marry, and it will be gone for ever. If, indeed, it could be restored to our poor little boy ",Fanny,John Dashwood,NO MONOLOGUE,0,2,Anaphoric,she added
23,23,24," said her husband, very gravely, ","Why, to be sure, /newquote that would make great difference. The time may come when Harry will regret that so large a sum was parted with. If he should have a numerous family, for instance, it would be a very convenient addition.",John Dashwood,Fanny,NO MONOLOGUE,0,2,Anaphoric,said her husband
24,24,25,NO APPEND,To be sure it would.,Fanny,John Dashwood,NO MONOLOGUE,0,2,Implicit,
25,25,26,NO APPEND,"Perhaps, then, it would be better for all parties, if the sum were diminished one half. Five hundred pounds would be a prodigious increase to their fortunes!",John Dashwood,Fanny,NO MONOLOGUE,0,2,Implicit,
26,26,27,NO APPEND,"Oh! beyond anything great! What brother on earth would do half so much for his sisters, even if _really_ his sisters! And as it is only half blood! But you have such a generous spirit!",Fanny,John Dashwood,NO MONOLOGUE,0,2,Implicit,
27,27,28, he replied. ,"I would not wish to do any thing mean, /newquote One had rather, on such occasions, do too much than too little. No one, at least, can think I have not done enough for them: even themselves, they can hardly expect more.",John Dashwood,Fanny,NO MONOLOGUE,0,2,Anaphoric,he replied
28,28,29," said the lady, ","There is no knowing what _they_ may expect, /newquote but we are not to think of their expectations: the question is, what you can afford to do.",Fanny,John Dashwood,NO MONOLOGUE,0,2,Anaphoric,said the lady
29,29,30,NO APPEND,"Certainly and I think I may afford to give them five hundred pounds a-piece. As it is, without any addition of mine, they will each have about three thousand pounds on their mother s death a very comfortable fortune for any young woman.",John Dashwood,Fanny,NO MONOLOGUE,0,2,Implicit,
