,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression
2,2,3,"The stranger came early in February, one wintry day, through a biting wind and a driving snow, the last snowfall of the year, over the down, walking from Bramblehurst railway station, and carrying a little black portmanteau in his thickly gloved hand. He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried. He staggered into the  /newquote  more dead than alive, and flung his portmanteau down.  /newquote  he cried,  /newquote  He stamped and shook the snow from off himself in the bar, and followed Mrs. Hall into her guest parlour to strike his bargain. And with that much introduction, that and a couple of sovereigns flung upon the table, he took up his quarters in the inn.","Coach and Horses /newquote A fire, /newquote in the name of human charity! A room and a fire!",The Invisible Man,Mrs. Hall,NO MONOLOGUE,0,1,Anaphoric,he cried
3,3,4,"Mrs. Hall lit the fire and left him there while she went to prepare him a meal with her own hands. A guest to stop at Iping in the wintertime was an unheard-of piece of luck, let alone a guest who was no  /newquote  and she was resolved to show herself worthy of her good fortune. As soon as the bacon was well under way, and Millie, her lymphatic maid, had been brisked up a bit by a few deftly chosen expressions of contempt, she carried the cloth, plates, and glasses into the parlour and began to lay them with the utmost _ clat_. Although the fire was burning up briskly, she was surprised to see that her visitor still wore his hat and coat, standing with his back to her and staring out of the window at the falling snow in the yard. His gloved hands were clasped behind him, and he seemed to be lost in thought. She noticed that the melting snow that still sprinkled his shoulders dripped upon her carpet.  /newquote  she said, ","haggler, /newquote Can I take your hat and coat, sir? /newquote and give them a good dry in the kitchen?",Mrs. Hall,The Invisible Man,NO MONOLOGUE,0,1,Anaphoric,she said
4,4,5, he said without turning.,"No,",The Invisible Man,Mrs. Hall,NO MONOLOGUE,0,1,Anaphoric,he said
6,6,7,"He turned his head and looked at her over his shoulder.  /newquote  he said with emphasis, and she noticed that he wore big blue spectacles with sidelights, and had a bush side-whisker over his coat-collar that completely hid his cheeks and face.","I prefer to keep them on,",The Invisible Man,Mrs. Hall,NO MONOLOGUE,0,1,Anaphoric,he said
7,7,8, she said. ,"Very well, sir, /newquote _As_ you like. In a bit the room will be warmer.",Mrs. Hall,The Invisible Man,NO MONOLOGUE,0,1,Anaphoric,she said
8,8,9,"He made no answer, and had turned his face away from her again, and Mrs. Hall, feeling that her conversational advances were ill-timed, laid the rest of the table things in a quick staccato and whisked out of the room. When she returned he was still standing there, like a man of stone, his back hunched, his collar turned up, his dripping hat-brim turned down, hiding his face and ears completely. She put down the eggs and bacon with considerable emphasis, and called rather than said to him, ","Your lunch is served, sir.",Mrs. Hall,The Invisible Man,NO MONOLOGUE,0,1,Anaphoric,She put down the eggs and bacon with considerable emphasis and called rather than said to him
9,9,10," he said at the same time, and did not stir until she was closing the door. Then he swung round and approached the table with a certain eager quickness.","Thank you,",The Invisible Man,Mrs. Hall,NO MONOLOGUE,0,1,Anaphoric,he said
11,11,12,"She rapped and entered promptly. As she did so her visitor moved quickly, so that she got but a glimpse of a white object disappearing behind the table. It would seem he was picking something from the floor. She rapped down the mustard pot on the table, and then she noticed the overcoat and hat had been taken off and put over a chair in front of the fire, and a pair of wet boots threatened rust to her steel fender. She went to these things resolutely.  /newquote  she said in a voice that brooked no denial.","I suppose I may have them to dry now,",Mrs. Hall,The Invisible Man,NO MONOLOGUE,0,1,Anaphoric,she said
12,12,13," said her visitor, in a muffled voice, and turning she saw he had raised his head and was sitting and looking at her.","Leave the hat,",The Invisible Man,Mrs. Hall,NO MONOLOGUE,0,1,Anaphoric,said her visitor
15,15,16,"He did not remove the serviette, but remained holding it, as she saw now, with a brown gloved hand, and regarding her with his inscrutable blue glasses.  /newquote  he said, speaking very distinctly through the white cloth.","Leave the hat,",The Invisible Man,Mrs. Hall,NO MONOLOGUE,0,1,Anaphoric,said her visitor
