,Unnamed: 0.1,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression,probability_sp,probability_ad
12,12,12,13,NO APPEND,Poor Miss Taylor!--I wish she were here again. What a pity it is that Mr. Weston ever thought of her!,Mr. Woodhouse,Emma,NO MONOLOGUE,0,1,Anaphoric,he had said,0.1177235131648561,0.3763270370321191
13,13,13,14,NO APPEND,"I cannot agree with you, papa; you know I cannot. Mr. Weston is such a good-humoured, pleasant, excellent man, that he thoroughly deserves a good wife;--and you would not have had Miss Taylor live with us for ever, and bear all my odd humours, when she might have a house of her own?",Emma,Mrs. Weston,NO MONOLOGUE,0,1,Implicit,,0.4166909520106148,0.0456526376088772
14,14,14,15,NO APPEND,"A house of her own!--But where is the advantage of a house of her own? This is three times as large.--And you have never any odd humours, my dear.",Emma,Mrs. Weston,NO MONOLOGUE,0,1,Implicit,,0.4200064828543923,0.0363637306890115
15,15,15,16,NO APPEND,"How often we shall be going to see them, and they coming to see us!--We shall be always meeting! _We_ must begin; we must go and pay wedding visit very soon.",Emma,Mrs. Weston,NO MONOLOGUE,0,1,Implicit,,0.417148406966472,0.0416929329171582
16,16,16,17,NO APPEND,"My dear, how am I to get so far? Randalls is such a distance. I could not walk half so far.",Emma,Mrs. Weston,NO MONOLOGUE,0,1,Implicit,,0.3825853713539483,0.0339510490372703
17,17,17,18,NO APPEND,"No, papa, nobody thought of your walking. We must go in the carriage, to be sure.",Emma,Mrs. Weston,NO MONOLOGUE,0,1,Implicit,,0.4203757472245076,0.0426509281740086
18,18,18,19,NO APPEND,The carriage! But James will not like to put the horses to for such a little way;--and where are the poor horses to be while we are paying our visit?,Emma,Mrs. Weston,NO MONOLOGUE,0,1,Implicit,,0.3990479952421751,0.0331816914429152
19,19,19,20,NO APPEND,"They are to be put into Mr. Weston's stable, papa. You know we have settled all that already. We talked it all over with Mr. Weston last night. And as for James, you may be very sure he will always like going to Randalls, because of his daughter's being housemaid there. I only doubt whether he will ever take us anywhere else. That was your doing, papa. You got Hannah that good place. Nobody thought of Hannah till you mentioned her--James is so obliged to you!",Emma,Mrs. Weston,NO MONOLOGUE,0,1,Implicit,,0.3836870775389068,0.0355417112955694
20,20,20,21,NO APPEND,"I am very glad I did think of her. It was very lucky, for I would not have had poor James think himself slighted upon any account; and I am sure she will make a very good servant: she is a civil, pretty-spoken girl; I have a great opinion of her. Whenever I see her, she always curtseys and asks me how I do, in a very pretty manner; and when you have had her here to do needlework, I observe she always turns the lock of the door the right way and never bangs it. I am sure she will be an excellent servant; and it will be a great comfort to poor Miss Taylor to have somebody about her that she is used to see. Whenever James goes over to see his daughter, you know, she will be hearing of us. He will be able to tell her how we all are.",Emma,Mrs. Weston,NO MONOLOGUE,0,1,Implicit,,0.3832636101232033,0.043629933496147
81,81,81,82,"Mrs. Goddard, and the teachers, and the girls and the affairs of the school in general, formed naturally a great part of the conversation--and but for her acquaintance with the Martins of Abbey-Mill Farm, it must have been the whole. But the Martins occupied her thoughts a good deal; she had spent two very happy months with them, and now loved to talk of the pleasures of her visit, and describe the many comforts and wonders of the place. Emma encouraged her talkativeness--amused by such a picture of another set of beings, and enjoying the youthful simplicity which could speak with so much exultation of Mrs. Martin's having ","_two_ parlours, two very good parlours, indeed; one of them quite as large as Mrs. Goddard's drawing-room; and of her having an upper maid who had lived five-and-twenty years with her; and of their having eight cows, two of them Alderneys, and one a little Welch cow, a very pretty little Welch cow indeed; and of Mrs. Martin's saying as she was so fond of it, it should be called _her_ cow; and of their having a very handsome summer-house in their garden, where some day next year they were all to drink tea:--a very handsome summer-house, large enough to hold a dozen people.",Emma,Mr. Knightley,NO MONOLOGUE,0,4,Implicit,,0.381961626665687,0.0836543187378647
85,85,85,86,NO APPEND,"And when she had come away, Mrs. Martin was so very kind as to send Mrs. Goddard a beautiful goose--the finest goose Mrs. Goddard had ever seen. Mrs. Goddard had dressed it on a Sunday, and asked all the three teachers, Miss Nash, and Miss Prince, and Miss Richardson, to sup with her.",Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.4144669120707444,0.0644118613066496
86,86,86,87,NO APPEND,"Mr. Martin, I suppose, is not a man of information beyond the line of his own business? He does not read?",Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.4291753887344737,0.0771701958324083
87,87,87,88,NO APPEND,"Oh yes!--that is, no--I do not know--but I believe he has read a good deal--but not what you would think any thing of. He reads the Agricultural Reports, and some other books that lay in one of the window seats--but he reads all _them_ to himself. But sometimes of an evening, before we went to cards, he would read something aloud out of the Elegant Extracts, very entertaining. And I know he has read the Vicar of Wakefield. He never read the Romance of the Forest, nor The Children of the Abbey. He had never heard of such books before I mentioned them, but he is determined to get them now as soon as ever he can.",Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.3752864519319201,0.0726790298582392
89,89,89,90,NO APPEND,What sort of looking man is Mr. Martin?,Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.4359375572589645,0.0869227414562523
90,90,90,91,NO APPEND,"Oh! not handsome--not at all handsome. I thought him very plain at first, but I do not think him so plain now. One does not, you know, after a time. But did you never see him? He is in Highbury every now and then, and he is sure to ride through every week in his way to Kingston. He has passed you very often.",Emma,Mr. Frank Churchill,NO MONOLOGUE,0,4,Implicit,,0.4148758948724332,0.0320379265264472
91,91,91,92,NO APPEND,"That may be, and I may have seen him fifty times, but without having any idea of his name. A young farmer, whether on horseback or on foot, is the very last sort of person to raise my curiosity. The yeomanry are precisely the order of people with whom I feel I can have nothing to do. A degree or two lower, and a creditable appearance might interest me; I might hope to be useful to their families in some way or other. But a farmer can need none of my help, and is, therefore, in one sense, as much above my notice as in every other he is below it.",Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.35390454832176,0.0459850942066111
92,92,92,93,NO APPEND,To be sure. Oh yes! It is not likely you should ever have observed him; but he knows you very well indeed--I mean by sight.,Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.4070403995808921,0.0663926321974835
93,93,93,94,NO APPEND,"I have no doubt of his being a very respectable young man. I know, indeed, that he is so, and, as such, wish him well. What do you imagine his age to be?",Emma,Mr. Frank Churchill,NO MONOLOGUE,0,4,Implicit,,0.4278989013022056,0.0320379265264472
94,94,94,95,NO APPEND,"He was four-and-twenty the 8th of last June, and my birthday is the 23rd just a fortnight and a day's difference--which is very odd.",Emma,Mr. Frank Churchill,NO MONOLOGUE,0,4,Implicit,,0.2418364132713812,0.0320379265264472
95,95,95,96,NO APPEND,"Only four-and-twenty. That is too young to settle. His mother is perfectly right not to be in a hurry. They seem very comfortable as they are, and if she were to take any pains to marry him, she would probably repent it. Six years hence, if he could meet with a good sort of young woman in the same rank as his own, with a little money, it might be very desirable.",Emma,Mr. Frank Churchill,NO MONOLOGUE,0,4,Implicit,,0.2298226525685295,0.0640884055961339
96,96,96,97,NO APPEND,"Six years hence! Dear Miss Woodhouse, he would be thirty years old!",Mr. Frank Churchill,Emma,NO MONOLOGUE,0,4,Implicit,,0.0686962478865685,0.7446607185786593
97,97,97,98,NO APPEND,"Well, and that is as early as most men can afford to marry, who are not born to an independence. Mr. Martin, I imagine, has his fortune entirely to make--cannot be at all beforehand with the world. Whatever money he might come into when his father died, whatever his share of the family property, it is, I dare say, all afloat, all employed in his stock, and so forth; and though, with diligence and good luck, he may be rich in time, it is next to impossible that he should have realised any thing yet.",Emma,Mr. Frank Churchill,NO MONOLOGUE,0,4,Implicit,,0.3530687081615503,0.1774605533112292
98,98,98,99,NO APPEND,"To be sure, so it is. But they live very comfortably. They have no indoors man, else they do not want for any thing; and Mrs. Martin talks of taking a boy another year.",Emma,Mr. Frank Churchill,NO MONOLOGUE,0,4,Implicit,,0.3753574719631052,0.0320379265264472
99,99,99,100,NO APPEND,"I wish you may not get into a scrape, Harriet, whenever he does marry;--I mean, as to being acquainted with his wife--for though his sisters, from a superior education, are not to be altogether objected to, it does not follow that he might marry any body at all fit for you to notice. The misfortune of your birth ought to make you particularly careful as to your associates. There can be no doubt of your being a gentleman's daughter, and you must support your claim to that station by every thing within your own power, or there will be plenty of people who would take pleasure in degrading you.",Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.3469229574920499,0.6290661152645179
100,100,100,101,NO APPEND,"Yes, to be sure, I suppose there are. But while I visit at Hartfield, and you are so kind to me, Miss Woodhouse, I am not afraid of what any body can do.",Harriet Smith,Emma,NO MONOLOGUE,0,4,Implicit,,0.0793427917099762,0.6041163167913989
101,101,101,102,NO APPEND,"You understand the force of influence pretty well, Harriet; but I would have you so firmly established in good society, as to be independent even of Hartfield and Miss Woodhouse. I want to see you permanently well connected, and to that end it will be advisable to have as few odd acquaintance as may be; and, therefore, I say that if you should still be in this country when Mr. Martin marries, I wish you may not be drawn in by your intimacy with the sisters, to be acquainted with the wife, who will probably be some mere farmer's daughter, without education.",Miss Bates,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.0645713919967803,0.7240717265251757
102,102,102,103,NO APPEND,"To be sure. Yes. Not that I think Mr. Martin would ever marry any body but what had had some education--and been very well brought up. However, I do not mean to set up my opinion against yours--and I am sure I shall not wish for the acquaintance of his wife. I shall always have a great regard for the Miss Martins, especially Elizabeth, and should be very sorry to give them up, for they are quite as well educated as me. But if he marries a very ignorant, vulgar woman, certainly I had better not visit her, if I can help it.",Emma,Mr. Frank Churchill,NO MONOLOGUE,0,4,Implicit,,0.3773284575377088,0.0320379265264472
106,106,106,107,NO APPEND,"Only think of our happening to meet him!--How very odd! It was quite a chance, he said, that he had not gone round by Randalls. He did not think we ever walked this road. He thought we walked towards Randalls most days. He has not been able to get the Romance of the Forest yet. He was so busy the last time he was at Kingston that he quite forgot it, but he goes again to-morrow. So very odd we should happen to meet! Well, Miss Woodhouse, is he like what you expected? What do you think of him? Do you think him so very plain?",Harriet Smith,Emma,NO MONOLOGUE,0,4,Implicit,,0.1422346917719454,0.5603358128586959
107,107,107,108,NO APPEND,"He is very plain, undoubtedly--remarkably plain:--but that is nothing compared with his entire want of gentility. I had no right to expect much, and I did not expect much; but I had no idea that he could be so very clownish, so totally without air. I had imagined him, I confess, a degree or two nearer gentility.",Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.3939308909442557,0.8059526314702916
108,108,108,109," said Harriet, in a mortified voice, ","To be sure, /newquote he is not so genteel as real gentlemen.",Harriet Smith,Emma,NO MONOLOGUE,0,4,Explicit,said Harriet,0.998226776812202,0.5872467404701638
109,109,109,110,NO APPEND,"I think, Harriet, since your acquaintance with us, you have been repeatedly in the company of some such very real gentlemen, that you must yourself be struck with the difference in Mr. Martin. At Hartfield, you have had very good specimens of well educated, well bred men. I should be surprized if, after seeing them, you could be in company with Mr. Martin again without perceiving him to be a very inferior creature--and rather wondering at yourself for having ever thought him at all agreeable before. Do not you begin to feel that now? Were not you struck? I am sure you must have been struck by his awkward look and abrupt manner, and the uncouthness of a voice which I heard to be wholly unmodulated as I stood here.",Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.3863839302659125,0.8382562694782781
110,110,110,111,NO APPEND,"Certainly, he is not like Mr. Knightley. He has not such a fine air and way of walking as Mr. Knightley. I see the difference plain enough. But Mr. Knightley is so very fine a man!",Emma,Mr. Knightley,NO MONOLOGUE,0,4,Implicit,,0.4113795109870143,0.0409935422840666
111,111,111,112,NO APPEND,Mr. Knightley's air is so remarkably good that it is not fair to compare Mr. Martin with _him_. You might not see one in a hundred with _gentleman_ so plainly written as in Mr. Knightley. But he is not the only gentleman you have been lately used to. What say you to Mr. Weston and Mr. Elton? Compare Mr. Martin with either of _them_. Compare their manner of carrying themselves; of walking; of speaking; of being silent. You must see the difference.,Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.3825417074030741,0.0684298598948109
112,112,112,113,NO APPEND,Oh yes!--there is a great difference. But Mr. Weston is almost an old man. Mr. Weston must be between forty and fifty.,Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.4198760565353134,0.0843848324657024
113,113,113,114,NO APPEND,"Which makes his good manners the more valuable. The older a person grows, Harriet, the more important it is that their manners should not be bad; the more glaring and disgusting any loudness, or coarseness, or awkwardness becomes. What is passable in youth is detestable in later age. Mr. Martin is now awkward and abrupt; what will he be at Mr. Weston's time of life?",Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.4024828481758022,0.886086307388432
114,114,114,115, replied Harriet rather solemnly.,"There is no saying, indeed,",Harriet Smith,Emma,NO MONOLOGUE,0,4,Explicit,replied Harriet,0.9985336726683536,0.6034802689497085
115,115,115,116,NO APPEND,"But there may be pretty good guessing. He will be a completely gross, vulgar farmer, totally inattentive to appearances, and thinking of nothing but profit and loss.",Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.4249562443377979,0.3319501402687512
116,116,116,117,NO APPEND,"Will he, indeed? That will be very bad.",Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.2467707074900823,0.3652667666155999
117,117,117,118,NO APPEND,"How much his business engrosses him already is very plain from the circumstance of his forgetting to inquire for the book you recommended. He was a great deal too full of the market to think of any thing else--which is just as it should be, for a thriving man. What has he to do with books? And I have no doubt that he _will_ thrive, and be a very rich man in time--and his being illiterate and coarse need not disturb _us_.",Harriet Smith,Emma,NO MONOLOGUE,0,4,Implicit,,0.2602959576957699,0.4185283829084177
118,118,118,119,"--was all Harriet's answer, and spoken with a degree of grave displeasure which Emma thought might be safely left to itself. She, therefore, said no more for some time. Her next beginning was,",I wonder he did not remember the book,Emma,Harriet Smith,NO MONOLOGUE,0,4,Implicit,,0.3842252660360646,0.3612951289876998
