,Unnamed: 0.1,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression,probability_sp,probability_ad
5,5,5,6,NO APPEND,bear about the mockery of woe.,Catherine Morland,Henry Tilney,NO MONOLOGUE,0,1,Anaphoric,he continued,0.1592298166738985,0.0710202342904202
9,9,9,10,NO APPEND,It is a delightful task To teach the young idea how to shoot.,Catherine Morland,Henry Tilney,NO MONOLOGUE,0,1,Implicit,,0.5191909108569016,0.082178053484436
11,11,11,12,NO APPEND,"Trifles light as air, Are, to the jealous, confirmation strong, As proofs of Holy Writ.",Catherine Morland,Henry Tilney,NO MONOLOGUE,0,1,Implicit,,0.4941863659153151,0.082178053484436
15,15,15,16,NO APPEND,like Patience on a monument Smiling at Grief.,Catherine Morland,Henry Tilney,NO MONOLOGUE,0,1,Implicit,,0.5830709416615851,0.082178053484436
20,20,20,21,"When the hour of departure drew near, the maternal anxiety of Mrs. Morland will be naturally supposed to be most severe. A thousand alarming presentiments of evil to her beloved Catherine from this terrific separation must oppress her heart with sadness, and drown her in tears for the last day or two of their being together; and advice of the most important and applicable nature must of course flow from her wise lips in their parting conference in her closet. Cautions against the violence of such noblemen and baronets as delight in forcing young ladies away to some remote farm-house, must, at such a moment, relieve the fulness of her heart. Who would not think so? But Mrs. Morland knew so little of lords and baronets, that she entertained no notion of their general mischievousness, and was wholly unsuspicious of danger to her daughter from their machinations. Her cautions were confined to the following points. ","I beg, Catherine, you will always wrap yourself up very warm about the throat, when you come from the rooms at night; and I wish you would try to keep some account of the money you spend; I will give you this little book on purpose.",Mrs. Morland,Catherine Morland,NO MONOLOGUE,0,2,Anaphoric,Her cautions were,0.7213642784659057,0.2670453347877985
27,27,27,28,"Mrs. Allen was so long in dressing that they did not enter the ballroom till late. The season was full, the room crowded, and the two ladies squeezed in as well as they could. As for Mr. Allen, he repaired directly to the card-room, and left them to enjoy a mob by themselves. With more care for the safety of her new gown than for the comfort of her protegee, Mrs. Allen made her way through the throng of men by the door, as swiftly as the necessary caution would allow; Catherine, however, kept close at her side, and linked her arm too firmly within her friend s to be torn asunder by any common effort of a struggling assembly. But to her utter amazement she found that to proceed along the room was by no means the way to disengage themselves from the crowd; it seemed rather to increase as they went on, whereas she had imagined that when once fairly within the door, they should easily find seats and be able to watch the dances with perfect convenience. But this was far from being the case, and though by unwearied diligence they gained even the top of the room, their situation was just the same; they saw nothing of the dancers but the high feathers of some of the ladies. Still they moved on something better was yet in view; and by a continued exertion of strength and ingenuity they found themselves at last in the passage behind the highest bench. Here there was something less of crowd than below; and hence Miss Morland had a comprehensive view of all the company beneath her, and of all the dangers of her late passage through them. It was a splendid sight, and she began, for the first time that evening, to feel herself at a ball: she longed to dance, but she had not an acquaintance in the room. Mrs. Allen did all that she could do in such a case by saying very placidly, every now and then,  /newquote  For some time her young friend felt obliged to her for these wishes; but they were repeated so often, and proved so totally ineffectual, that Catherine grew tired at last, and would thank her no more.","I wish you could dance, my dear I wish you could get a partner.",Mrs. Allen,Catherine Morland,NO MONOLOGUE,0,2,Explicit,Mrs Allen did all that she could do in such a case by saying,0.985371719398296,0.2284092018760194
29,29,29,30,"Mrs. Allen congratulated herself, as soon as they were seated, on having preserved her gown from injury.  /newquote  said she, ","It would have been very shocking to have it torn, /newquote would not it? It is such a delicate muslin. For my part I have not seen anything I like so well in the whole room, I assure you.",Mrs. Morland,Catherine Morland,NO MONOLOGUE,0,2,Anaphoric,said she,0.842288442192042,0.3793880121261786
30,30,30,31," whispered Catherine, ","How uncomfortable it is, /newquote not to have a single acquaintance here!",Catherine Morland,Mrs. Morland,NO MONOLOGUE,0,2,Explicit,whispered Catherine,0.9914038901040724,0.7891270617555626
31,31,31,32," replied Mrs. Allen, with perfect serenity, ","Yes, my dear, /newquote it is very uncomfortable indeed.",Mrs. Allen,Catherine Morland,NO MONOLOGUE,0,2,Explicit,replied Mrs Allen,0.99457520425173,0.6022990657072794
32,32,32,33,NO APPEND,What shall we do? The gentlemen and ladies at this table look as if they wondered why we came here we seem forcing ourselves into their party.,Catherine Morland,Mrs. Allen,NO MONOLOGUE,0,2,Implicit,,0.4515791551434959,0.1964846312572775
33,33,33,34,NO APPEND,"Aye, so we do. That is very disagreeable. I wish we had a large acquaintance here.",Catherine Morland,Henry Tilney,NO MONOLOGUE,0,2,Implicit,,0.4974732217619561,0.082178053484436
34,34,34,35,NO APPEND,I wish we had _any;_ it would be somebody to go to.,Catherine Morland,Henry Tilney,NO MONOLOGUE,0,2,Implicit,,0.5215604479095955,0.082178053484436
35,35,35,36,NO APPEND,"Very true, my dear; and if we knew anybody we would join them directly. The Skinners were here last year I wish they were here now.",Catherine Morland,Henry Tilney,NO MONOLOGUE,0,2,Implicit,,0.4582757178666737,0.082178053484436
36,36,36,37,NO APPEND,"Had not we better go away as it is? Here are no tea-things for us, you see.",Catherine Morland,Henry Tilney,NO MONOLOGUE,0,2,Implicit,,0.5011149710962784,0.082178053484436
37,37,37,38,NO APPEND,"No more there are, indeed. How very provoking! But I think we had better sit still, for one gets so tumbled in such a crowd! How is my head, my dear? Somebody gave me a push that has hurt it, I am afraid.",Catherine Morland,Henry Tilney,NO MONOLOGUE,0,2,Implicit,,0.4073104024952781,0.082178053484436
38,38,38,39,NO APPEND,"No, indeed, it looks very nice. But, dear Mrs. Allen, are you sure there is nobody you know in all this multitude of people? I think you _must_ know somebody.",Catherine Morland,Mrs. Allen,NO MONOLOGUE,0,2,Implicit,,0.4398802648419974,0.1212251456982128
39,39,39,40,NO APPEND,"I don t, upon my word I wish I did. I wish I had a large acquaintance here with all my heart, and then I should get you a partner. I should be so glad to have you dance. There goes a strange-looking woman! What an odd gown she has got on! How old-fashioned it is! Look at the back.",Catherine Morland,Henry Tilney,NO MONOLOGUE,0,2,Implicit,,0.3461172888870656,0.082178053484436
