,Unnamed: 0.1,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression,probability_sp,probability_ad
6,6,6,7,"It was Madame Nilsson's first appearance that winter, and what the daily press had already learned to describe as  /newquote  had gathered to hear her, transported through the slippery, snowy streets in private broughams, in the spacious family landau, or in the humbler but more convenient  /newquote  To come to the Opera in a Brown coupe was almost as honourable a way of arriving as in one's own carriage; and departure by the same means had the immense advantage of enabling one (with a playful allusion to democratic principles) to scramble into the first Brown conveyance in the line, instead of waiting till the cold-and-gin congested nose of one's own coachman gleamed under the portico of the Academy.  It was one of the great livery-stableman's most masterly intuitions to have discovered that Americans want to get away from amusement even more quickly than they want to get to it.",an exceptionally brilliant audience /newquote Brown coupe.,Newland Archer,Miss Welland,NO MONOLOGUE,0,0,Anaphoric,she said,0.4655891915648621,0.0767436515154452
9,9,9,10,"She sang, of course,  /newquote  and not  /newquote  since an unalterable and unquestioned law of the musical world required that the German text of French operas sung by Swedish artists should be translated into Italian for the clearer understanding of English-speaking audiences.  This seemed as natural to Newland Archer as all the other conventions on which his life was moulded: such as the duty of using two silver-backed brushes with his monogram in blue enamel to part his hair, and of never appearing in society without a flower (preferably a gardenia) in his buttonhole.","M'ama! /newquote he loves me,",Newland Archer,Miss Welland,NO MONOLOGUE,0,0,Anaphoric,she went on,0.5032015615250904,0.0767436515154452
16,16,16,17,"How this miracle of fire and ice was to be created, and to sustain itself in a harsh world, he had never taken the time to think out; but he was content to hold his view without analysing it, since he knew it was that of all the carefully-brushed, white-waistcoated, button-hole-flowered gentlemen who succeeded each other in the club box, exchanged friendly greetings with him, and turned their opera-glasses critically on the circle of ladies who were the product of the system.  In matters intellectual and artistic Newland Archer felt himself distinctly the superior of these chosen specimens of old New York gentility; he had probably read more, thought more, and even seen a good deal more of the world, than any other man of the number. Singly they betrayed their inferiority; but grouped together they represented  /newquote  and the habit of masculine solidarity made him accept their doctrine on all the issues called moral.  He instinctively felt that in this respect it would be troublesome--and also rather bad form--to strike out for himself.","New York,",Newland Archer,Miss Welland,NO MONOLOGUE,0,0,Anaphoric,she said,0.5166569865905897,0.0767436515154452
17,17,17,18," exclaimed Lawrence Lefferts, turning his opera-glass abruptly away from the stage.  Lawrence Lefferts was, on the whole, the foremost authority on  /newquote  in New York.  He had probably devoted more time than any one else to the study of this intricate and fascinating question; but study alone could not account for his complete and easy competence.  One had only to look at him, from the slant of his bald forehead and the curve of his beautiful fair moustache to the long patent-leather feet at the other end of his lean and elegant person, to feel that the knowledge of  /newquote  must be congenital in any one who knew how to wear such good clothes so carelessly and carry such height with so much lounging grace.  As a young admirer had once said of him:   /newquote   And on the question of pumps versus patent-leather  /newquote  his authority had never been disputed.","Well--upon my soul! /newquote form /newquote form /newquote If anybody can tell a fellow just when to wear a black tie with evening clothes and when not to, it's Larry Lefferts. /newquote Oxfords",Newland Archer,Miss Welland,NO MONOLOGUE,0,0,Explicit,Archer began to speak,0.9124460338012682,0.0767436515154452
22,22,22,23,"The club box, therefore, waited in visible suspense while Mr. Sillerton Jackson handed back Lawrence Lefferts's opera-glass.  For a moment he silently scrutinised the attentive group out of his filmy blue eyes overhung by old veined lids; then he gave his moustache a thoughtful twist, and said simply:  ",I didn't think the Mingotts would have tried it on.,Newland Archer,Miss Welland,NO MONOLOGUE,0,0,Anaphoric,he gave his moustache a thoughtful twist and said,0.478741496268173,0.0767436515154452
29,29,29,30,"Every one (including Mr. Sillerton Jackson) was agreed that old Catherine had never had beauty--a gift which, in the eyes of New York, justified every success, and excused a certain number of failings. Unkind people said that, like her Imperial namesake, she had won her way to success by strength of will and hardness of heart, and a kind of haughty effrontery that was somehow justified by the extreme decency and dignity of her private life.  Mr. Manson Mingott had died when she was only twenty-eight, and had  /newquote  the money with an additional caution born of the general distrust of the Spicers; but his bold young widow went her way fearlessly, mingled freely in foreign society, married her daughters in heaven knew what corrupt and fashionable circles, hobnobbed with Dukes and Ambassadors, associated familiarly with Papists, entertained Opera singers, and was the intimate friend of Mme. Taglioni; and all the while (as Sillerton Jackson was the first to proclaim) there had never been a breath on her reputation; the only respect, he always added, in which she differed from the earlier Catherine.",tied up,Newland Archer,Dallas,NO MONOLOGUE,0,0,Anaphoric,the young girl answered,0.5370688611011672,0.1448842291689976
30,30,30,31,"Mrs. Manson Mingott had long since succeeded in untying her husband's fortune, and had lived in affluence for half a century; but memories of her early straits had made her excessively thrifty, and though, when she bought a dress or a piece of furniture, she took care that it should be of the best, she could not bring herself to spend much on the transient pleasures of the table.  Therefore, for totally different reasons, her food was as poor as Mrs. Archer's, and her wines did nothing to redeem it.  Her relatives considered that the penury of her table discredited the Mingott name, which had always been associated with good living; but people continued to come to her in spite of the  /newquote  and flat champagne, and in reply to the remonstrances of her son Lovell (who tried to retrieve the family credit by having the best chef in New York) she used to say laughingly:  ","made dishes /newquote What's the use of two good cooks in one family, now that I've married the girls and can't eat sauces?",Newland Archer,Mr. Sillerton Jackson,NO MONOLOGUE,0,0,Anaphoric,she used to say,0.4039010200574065,0.0780770714416916
33,33,33,34," he heard one of the younger men begin behind him (everybody talked through the Mephistopheles-and-Martha scenes), ","After all, /newquote after all, just WHAT happened?",Newland Archer,Miss Welland,NO MONOLOGUE,0,0,Anaphoric,he heard one of the younger men begin,0.4713253786875455,0.0767436515154452
35,35,35,36," continued the young enquirer, a candid Thorley, who was evidently preparing to enter the lists as the lady's champion.","He's an awful brute, isn't he?",Young Thorley,Newland Archer,NO MONOLOGUE,0,0,Explicit,continued the young enquirer a candid Thorley,0.9911539462541724,0.3205065255042535
43,43,43,44," some one said in a low tone, with a side-glance at Archer.","Well--it's queer to have brought Miss Welland, anyhow,",Newland Archer,Miss Welland,NO MONOLOGUE,0,0,Implicit,,0.4772724504386425,0.0767436515154452
