,Unnamed: 0.1,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression,probability_sp,probability_ad
2,2,2,3,NO APPEND,_Allez vous-en! Allez vous-en! Sapristi!_ That's all right!,Leonce Pontellier,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,broke in Mr Pontellier,0.9544244708497662,0.2975448937796243
8,8,8,9,"Once in a while he withdrew his glance from the newspaper and looked about him. There was more noise than ever over at the house. The main building was called  /newquote  to distinguish it from the cottages. The chattering and whistling birds were still at it. Two young girls, the Farival twins, were playing a duet from  /newquote  upon the piano. Madame Lebrun was bustling in and out, giving orders in a high key to a yard-boy whenever she got inside the house, and directions in an equally high voice to a dining-room servant whenever she got outside. She was a fresh, pretty woman, clad always in white with elbow sleeves. Her starched skirts crinkled as she came and went. Farther down, before one of the cottages, a lady in black was walking demurely up and down, telling her beads. A good many persons of the _pension_ had gone over to the _Ch ni re Caminada_ in Beaudelet's lugger to hear mass. Some young people were out under the water-oaks playing croquet. Mr. Pontellier's two children were there sturdy little fellows of four and five. A quadroon nurse followed them about with a faraway, meditative air.","the house, /newquote Zampa",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Implicit,,0.4264156032615807,0.1691284308347058
23,23,23,24,"Mrs. Pontellier reached over for a palm-leaf fan that lay on the porch and began to fan herself, while Robert sent between his lips light puffs from his cigarette. They chatted incessantly: about the things around them; their amusing adventure out in the water it had again assumed its entertaining aspect; about the wind, the trees, the people who had gone to the _Ch ni re;_ about the children playing croquet under the oaks, and the Farival twins, who were now performing the overture to ",The Poet and the Peasant.,Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Explicit,persisted Edna,0.9855844625746936,0.1642170558837092
25,25,25,26,"He was spending his summer vacation, as he always did, with his mother at Grand Isle. In former times, before Robert could remember,  /newquote  had been a summer luxury of the Lebruns. Now, flanked by its dozen or more cottages, which were always filled with exclusive visitors from the  /newquote  it enabled Madame Lebrun to maintain the easy and comfortable existence which appeared to be her birthright.","the house /newquote _Quartier Fran ais_,",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he blurted out,0.3176300022629594,0.2994661151361526
28,28,28,29," she said, with a glance in the direction whence her husband had disappeared. Robert supposed he was not, as there were a good many New Orleans club men over at Klein's.","I see L once isn't coming back,",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she said,0.7744076898402245,0.1810420888236357
45,45,45,46," she exclaimed, smoothing out the bills as she counted them one by one.",It will buy a handsome wedding present for Sister Janet!,Edna Pontellier,Leonce Pontellier,NO MONOLOGUE,0,0,Anaphoric,she exclaimed,0.7745071092451733,0.451727217410692
46,46,46,47," he laughed, as he prepared to kiss her good-by.","Oh! we'll treat Sister Janet better than that, my dear,",Leonce Pontellier,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he laughed,0.2219561552594294,0.6531159879596712
87,87,87,88, asked Robert of Mrs. Pontellier. It was not so much a question as a reminder.,Are you going bathing?,Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Explicit,asked Robert of Mrs Pontellier,0.9893710986735014,0.566486891883647
88,88,88,89," she answered, with a tone of indecision.  /newquote  Her glance wandered from his face away toward the Gulf, whose sonorous murmur reached her like a loving but imperative entreaty.","Oh, no, /newquote I'm tired; I think not.",Edna Pontellier,Robert Lebrun,NO MONOLOGUE,0,0,Anaphoric,she answered,0.7742291220619236,0.8081546946963155
89,89,89,90, he insisted. ,"Oh, come! /newquote You mustn't miss your bath. Come on. The water must be delicious; it will not hurt you. Come.",Robert Lebrun,Edna Pontellier,NO MONOLOGUE,0,0,Anaphoric,he insisted,0.2967076271598406,0.6532891865763624
