,Unnamed: 0.1,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression,probability_sp,probability_ad
38,38,38,38," she said, ","Mr. Syme, /newquote do the people who talk like you and my brother often mean what they say? Do you mean what you say now?",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Anaphoric,she said,0.4148851376118274,0.1911664727229015
40,40,40,40, he asked.,Do you?,Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Anaphoric,he asked,0.4672170635313381,0.0918333123038858
41,41,41,41," asked the girl, with grave eyes.",What do you mean?,Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Anaphoric,asked the girl,0.4880901071467688,0.2911200696893879
42,42,42,42," said Syme gently, ","My dear Miss Gregory, /newquote there are many kinds of sincerity and insincerity. When you say  thank you' for the salt, do you mean what you say? No. When you say  the world is round,' do you mean what you say? No. It is true, but you don't mean it. Now, sometimes a man like your brother really finds a thing he does mean. It may be only a half-truth, quarter-truth, tenth-truth; but then he says more than he means from sheer force of meaning it.",Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Explicit,said Syme,0.9753250249929392,0.6295345261496862
44,44,44,44, she asked.,"Is he really an anarchist, then?",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Anaphoric,she asked,0.4832641504382625,0.3055199517154588
45,45,45,45, replied Syme; ,"Only in that sense I speak of, /newquote or if you prefer it, in that nonsense.",Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Explicit,replied Syme,0.9781019835039412,0.309377840808101
47,47,47,47,NO APPEND,He wouldn't really use bombs or that sort of thing?,Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Anaphoric,She drew her broad brows together and said,0.4058629380282552,0.1072209202912781
49,49,49,49," he said, ","Good Lord, no! /newquote that has to be done anonymously.",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Anaphoric,he said,0.4195904569763208,0.1072209202912781
55,55,55,55, said Gregory. ,"I was waiting for you, /newquote Might I have a moment's conversation?",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Explicit,said Gregory,0.9970225704495052,0.3128675052041332
56,56,56,56, asked Syme in a sort of weak wonder.,Certainly. About what?,Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Explicit,asked Syme,0.9783938736704508,0.2907278449742539
58,58,58,58, he cried; ,"About _this_ and _this_, /newquote about order and anarchy. There is your precious order, that lean, iron lamp, ugly and barren; and there is anarchy, rich, living, reproducing itself there is anarchy, splendid in green and gold.",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Anaphoric,he cried,0.412682747481741,0.2702896724973328
59,59,59,59," replied Syme patiently,  /newquote  Then after a pause he said, ","All the same, /newquote just at present you only see the tree by the light of the lamp. I wonder when you would ever see the lamp by the light of the tree. /newquote But may I ask if you have been standing out here in the dark only to resume our little argument?",Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Explicit,replied Syme,0.9756191116206994,0.4397608347040713
60,60,60,60," cried out Gregory, in a voice that rang down the street, ","No, /newquote I did not stand here to resume our argument, but to end it for ever.",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Explicit,cried out Gregory,0.995833148651552,0.2591641225245195
62,62,62,62," he said, ","Mr. Syme, /newquote this evening you succeeded in doing something rather remarkable. You did something to me that no man born of woman has ever succeeded in doing before.",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Anaphoric,he said,0.4470673265645365,0.4300240332891999
63,63,63,63,NO APPEND,Indeed!,Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Implicit,,0.4353702170383787,0.4288502032942983
64,64,64,64," resumed Gregory reflectively, ","Now I remember, /newquote one other person succeeded in doing it. The captain of a penny steamer (if I remember correctly) at Southend. You have irritated me.",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Explicit,resumed Gregory,0.9969723052832724,0.5869048808443366
65,65,65,65, replied Syme with gravity.,"I am very sorry,",Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Explicit,replied Syme,0.9787694624915528,0.4288502032942983
66,66,66,66, said Gregory very calmly. ,"I am afraid my fury and your insult are too shocking to be wiped out even with an apology, /newquote No duel could wipe it out. If I struck you dead I could not wipe it out. There is only one way by which that insult can be erased, and that way I choose. I am going, at the possible sacrifice of my life and honour, to _prove_ to you that you were wrong in what you said.",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Explicit,said Gregory,0.9958907460628184,0.5017936884624338
67,67,67,67,NO APPEND,In what I said?,Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Implicit,,0.3949240692863648,0.2081747996486827
68,68,68,68,NO APPEND,You said I was not serious about being an anarchist.,Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Implicit,,0.4246396801798751,0.1275582233204495
69,69,69,69, replied Syme. ,"There are degrees of seriousness, /newquote I have never doubted that you were perfectly sincere in this sense, that you thought what you said well worth saying, that you thought a paradox might wake men up to a neglected truth.",Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Explicit,replied Syme,0.9754210520033868,0.1431352920916847
71,71,71,71," he asked, ","And in no other sense, /newquote you think me serious? You think me a _fl neur_ who lets fall occasional truths. You do not think that in a deeper, a more deadly sense, I am serious.",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Anaphoric,he asked,0.4195710911418706,0.1072209202912781
73,73,73,73, he cried. ,"Serious! /newquote Good Lord! is this street serious? Are these damned Chinese lanterns serious? Is the whole caboodle serious? One comes here and talks a pack of bosh, and perhaps some sense as well, but I should think very little of a man who didn't keep something in the background of his life that was more serious than all this talking something more serious, whether it was religion or only drink.",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Anaphoric,he cried,0.3670688469110696,0.1072209202912781
74,74,74,74," said Gregory, his face darkening, ","Very well, /newquote you shall see something more serious than either drink or religion.",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Explicit,said Gregory,0.9971423584006208,0.1139871473331051
76,76,76,76,NO APPEND,You spoke just now of having a religion. Is it really true that you have one?,Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Implicit,,0.431233659012713,0.1377742275192101
77,77,77,77," said Syme with a beaming smile, ","Oh, /newquote we are all Catholics now.",Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Explicit,said Syme,0.9786541378839568,0.1377742275192101
78,78,78,78,NO APPEND,"Then may I ask you to swear by whatever gods or saints your religion involves that you will not reveal what I am now going to tell you to any son of Adam, and especially not to the police? Will you swear that! If you will take upon yourself this awful abnegation if you will consent to burden your soul with a vow that you should never make and a knowledge you should never dream about, I will promise you in return ",Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Implicit,,0.4113462340060731,0.1377742275192101
79,79,79,79," inquired Syme, as the other paused.",You will promise me in return?,Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Explicit,inquired Syme,0.9772812000835378,0.1543780938956036
80,80,80,80, Syme suddenly took off his hat.,I will promise you a very entertaining evening.,Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,1,Implicit,,0.4169018930339886,0.1702464526128613
81,81,81,81," he said, ","Your offer, /newquote is far too idiotic to be declined. You say that a poet is always an anarchist. I disagree; but I hope at least that he is always a sportsman. Permit me, here and now, to swear as a Christian, and promise as a good comrade and a fellow-artist, that I will not report anything of this, whatever it is, to the police. And now, in the name of Colney Hatch, what is it?",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Anaphoric,he said,0.3426174324424247,0.2864448853233117
82,82,82,82," said Gregory, with placid irrelevancy, ","I think, /newquote that we will call a cab.",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,1,Explicit,said Gregory,0.9969334201869398,0.0947429229046
90,90,90,90," resumed Gregory, with the same careless yet apologetic air. ",What will you drink? /newquote I shall only have a _cr me de menthe_ myself; I have dined. But the champagne can really be trusted. Do let me start you with a half-bottle of Pommery at least?,Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,2,Explicit,resumed Gregory,0.995359177715066,0.1760169649762852
91,91,91,91, said the motionless Syme. ,Thank you! /newquote You are very good.,Gabriel Syme,Mr. Lucian Gregory,NO MONOLOGUE,0,2,Explicit,said the motionless Syme,0.9736896507132178,0.2999700174360969
93,93,93,93," he said to Gregory, smiling. ",Excuse me if I enjoy myself rather obviously! /newquote I don't often have the luck to have a dream like this. It is new to me for a nightmare to lead to a lobster. It is commonly the other way.,Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,2,Anaphoric,he said to Gregory,0.4158118539695913,0.0890042721402595
94,94,94,94, said Gregory. ,"You are not asleep, I assure you, /newquote You are, on the contrary, close to the most actual and rousing moment of your existence. Ah, here comes your champagne! I admit that there may be a slight disproportion, let us say, between the inner arrangements of this excellent hotel and its simple and unpretentious exterior. But that is all our modesty. We are the most modest men that ever lived on earth.",Mr. Lucian Gregory,Gabriel Syme,NO MONOLOGUE,0,2,Explicit,said Gregory,0.9954235139659326,0.2635585076718376
