,Unnamed: 0,paragraph,append,dialogue,speaker,addressee,subject,sentiment,chapter,syntactic,referringExpression,probability_sp,probability_ad
0,0,1,by Oscar Wilde,NO QUOTE,,,,0,0,1.0,1.0,,
1,1,2,THE PREFACE,NO QUOTE,,,,0,0,1.0,1.0,,
2,2,3,The artist is the creator of beautiful things. To reveal art and conceal the artist is art s aim. The critic is he who can translate into another manner or a new material his impression of beautiful things.,NO QUOTE,,,,0,0,1.0,1.0,,
3,3,4,The highest as the lowest form of criticism is a mode of autobiography. Those who find ugly meanings in beautiful things are corrupt without being charming. This is a fault.,NO QUOTE,,,,0,0,1.0,1.0,,
4,4,5,Those who find beautiful meanings in beautiful things are the cultivated. For these there is hope. They are the elect to whom beautiful things mean only beauty.,NO QUOTE,,,,0,0,1.0,1.0,,
5,5,6,"There is no such thing as a moral or an immoral book. Books are well written, or badly written. That is all.",NO QUOTE,,,,0,0,1.0,1.0,,
6,6,7,The nineteenth century dislike of realism is the rage of Caliban seeing his own face in a glass.,NO QUOTE,,,,0,0,1.0,1.0,,
7,7,8,"The nineteenth century dislike of romanticism is the rage of Caliban not seeing his own face in a glass. The moral life of man forms part of the subject-matter of the artist, but the morality of art consists in the perfect use of an imperfect medium. No artist desires to prove anything. Even things that are true can be proved. No artist has ethical sympathies. An ethical sympathy in an artist is an unpardonable mannerism of style. No artist is ever morbid. The artist can express everything. Thought and language are to the artist instruments of an art. Vice and virtue are to the artist materials for an art. From the point of view of form, the type of all the arts is the art of the musician. From the point of view of feeling, the actor s craft is the type. All art is at once surface and symbol. Those who go beneath the surface do so at their peril. Those who read the symbol do so at their peril. It is the spectator, and not life, that art really mirrors. Diversity of opinion about a work of art shows that the work is new, complex, and vital. When critics disagree, the artist is in accord with himself. We can forgive a man for making a useful thing as long as he does not admire it. The only excuse for making a useless thing is that one admires it intensely.",NO QUOTE,,,,0,0,1.0,1.0,,
8,8,9,All art is quite useless.,NO QUOTE,,,,0,0,1.0,1.0,,
9,9,10,OSCAR WILDE,NO QUOTE,,,,0,0,1.0,1.0,,
